graph,type,path,n,arcs,edges,directed,step,name,formula,bits,bits per edge,redundancy,saved vs previous (%),saved vs (0) (%),saved vs (2) (%),H part,stored arcs,tree edges,components
email-Eu-core,directed,Datasets/TestSet/Directed/email-Eu-core.txt,1005,25571,25571,True,0,Adjacency lists,m*ceil(lg n) + n*ceil(lg m),270785.0,10.589535020140003,,,0.0,,0.0,25571.0,0.0,"[[""m*ceil(lg n) - one id per stored arc"", 255710, ""25571 x 10""], [""n*ceil(lg m) - one offset per vertex"", 15075, ""1005 x 15""]]"
email-Eu-core,directed,Datasets/TestSet/Directed/email-Eu-core.txt,1005,25571,25571,True,1,One string + separator bitvector,"m*ceil(lg n) + lg C(n+m, n)",261874.33763525813,10.241067523180874,o(m),3.290677978743972,3.290677978743972,,0.0,25571.0,0.0,"[[""m*ceil(lg n) - the adjacency string, uncompressed"", 255710, ""25571 x 10""], [""lg C(n+m, n) - the separator bitvector"", 6164.337635258114, ""C(26576, 1005)""]]"
email-Eu-core,directed,Datasets/TestSet/Directed/email-Eu-core.txt,1005,25571,25571,True,2,Entropy-compressed adjacency string,"H(G) + lg C(n+m, n)",242663.0841861973,9.48977686387694,o(m),7.336058058433559,10.38532999014079,,236498.74655093916,25571.0,0.0,"[[""H(G) - in-degree entropy of the string"", 236498.74655093913, ""sum d lg(m/d) over 25571 arcs""], [""lg C(n+m, n) - the separator bitvector"", 6164.337635258114, """"]]"
email-Eu-core,directed,Datasets/TestSet/Directed/email-Eu-core.txt,1005,25571,25571,True,3b,TREX - best MST-based tree,"H(G-T) + lg C(n+m', n) + 3n",233027.95386689904,9.112977743025263,o(m) + o(n),3.970579353514314,13.94355157527225,,223904.45815802668,24586.0,985.0,"[[""H(G-T) - entropy of what is left"", 223904.45815802668, ""24586 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 6108.495708872348, """"], [""3n - LOUDS, plus n for D"", 3015, ""3 x 1005""]]"
email-Eu-core,directed,Datasets/TestSet/Directed/email-Eu-core.txt,1005,25571,25571,True,3w,TREX - worst MST-based tree,"H(G-T) + lg C(n+m', n) + 3n",236395.28611381128,9.244663334003803,o(m) + o(n),-1.445033606927515,12.700006974606692,2.582921952634809,227271.7904049389,24586.0,985.0,"[[""H(G-T) - entropy of what is left"", 227271.79040493892, ""24586 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 6108.495708872348, """"], [""3n - LOUDS, plus n for D"", 3015, ""3 x 1005""]]"
email-Eu-core,directed,Datasets/TestSet/Directed/email-Eu-core.txt,1005,25571,25571,True,4,"Twin removal, then TREX","H(G0-T0) + lg C(n0+m0', n0) + 3n0 + lg C(N, n0)",226141.96126294107,8.843688602829028,o(m) + o(n) + o(N),2.955007109529495,16.486525744431535,,217111.9589530148,23940.0,967.0,"[[""H(G0-T0) - entropy after contraction"", 217111.9589530148, ""23940 residual arcs, n0 = 969""], [""lg C(n0+m0', n0)"", 5902.984582909202, """"], [""3n0 - LOUDS and D"", 2907, ""3 x 969""], [""lg C(N, n0) - the class sizes in B"", 220.0177270170487, ""36 twins removed""]]"
celegansneural,directed,Datasets/TestSet/Directed/celegansneural.txt,297,2345,2345,True,0,Adjacency lists,m*ceil(lg n) + n*ceil(lg m),24669.0,10.519829424307035,,,0.0,,0.0,2345.0,0.0,"[[""m*ceil(lg n) - one id per stored arc"", 21105, ""2345 x 9""], [""n*ceil(lg m) - one offset per vertex"", 3564, ""297 x 12""]]"
celegansneural,directed,Datasets/TestSet/Directed/celegansneural.txt,297,2345,2345,True,1,One string + separator bitvector,"m*ceil(lg n) + lg C(n+m, n)",22439.56187064388,9.569109539720204,o(m),9.037407796652175,9.037407796652175,,0.0,2345.0,0.0,"[[""m*ceil(lg n) - the adjacency string, uncompressed"", 21105, ""2345 x 9""], [""lg C(n+m, n) - the separator bitvector"", 1334.5618706438765, ""C(2642, 297)""]]"
celegansneural,directed,Datasets/TestSet/Directed/celegansneural.txt,297,2345,2345,True,2,Entropy-compressed adjacency string,"H(G) + lg C(n+m, n)",18928.155954370373,8.071708296106769,o(m),15.648281978567644,23.271490719646625,,17593.594083726497,2345.0,0.0,"[[""H(G) - in-degree entropy of the string"", 17593.594083726497, ""sum d lg(m/d) over 2345 arcs""], [""lg C(n+m, n) - the separator bitvector"", 1334.5618706438765, """"]]"
celegansneural,directed,Datasets/TestSet/Directed/celegansneural.txt,297,2345,2345,True,3b,TREX - best MST-based tree,"H(G-T) + lg C(n+m', n) + 3n",16931.528859794307,7.220268170487977,o(m) + o(n),10.548450146909635,31.365159269551636,,14760.1741630365,2049.0,296.0,"[[""H(G-T) - entropy of what is left"", 14760.1741630365, ""2049 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 1280.35469675781, """"], [""3n - LOUDS, plus n for D"", 891, ""3 x 297""]]"
